client_id,app_date,education,sex,age,car,car_type,decline_app_cnt,good_work,score_bki,bki_request_cnt,region_rating,home_address,work_address,income,sna,first_time,foreign_passport,default
25905,01FEB2014,SCH,M,62,Y,Y,0,0,-2.00875292,1,50,1,2,18000,4,1,N,0
63161,12MAR2014,SCH,F,59,N,N,0,0,-1.53227621,3,50,2,3,19000,4,1,N,0
25887,01FEB2014,SCH,M,25,Y,N,2,0,-1.40814226,1,80,1,2,30000,1,4,Y,0
16222,23JAN2014,SCH,F,53,N,N,0,0,-2.05747134,2,50,2,3,10000,1,3,N,0
101655,18APR2014,GRD,M,48,N,N,0,1,-1.24472274,1,60,2,3,30000,1,4,Y,0
41415,18FEB2014,SCH,M,27,Y,N,0,1,-2.03225725,0,50,1,1,15000,2,3,N,0
28436,04FEB2014,SCH,M,39,N,N,0,0,-2.22500363,0,60,1,2,28000,1,1,N,0
68769,17MAR2014,SCH,F,39,N,N,0,0,-1.52273914,1,50,2,3,45000,3,3,N,0
38424,14FEB2014,SCH,F,50,Y,N,1,0,-1.67606085,0,50,1,1,30000,1,4,N,0
4496,10JAN2014,UGR,F,54,N,N,0,0,-2.69517561,1,50,2,3,24000,1,3,N,0
26995,03FEB2014,UGR,M,50,Y,N,2,0,-1.70010457,1,80,2,3,60000,1,4,Y,0
91883,08APR2014,GRD,M,29,N,N,0,0,-1.87002204,2,50,2,3,40000,1,3,N,0
2828,08JAN2014,GRD,F,32,N,N,0,0,-1.69675436,0,50,2,3,23000,1,2,N,0
70724,19MAR2014,GRD,M,30,N,N,0,1,-1.4085121,0,50,1,2,30000,1,3,N,0
68278,17MAR2014,SCH,F,48,N,N,0,0,-2.02320754,2,50,2,3,32000,1,3,N,0
14992,22JAN2014,SCH,M,23,N,N,0,0,-0.79480885,0,50,2,3,33000,1,3,N,0
23070,30JAN2014,UGR,F,37,N,N,0,1,-2.0678370999999998,4,60,3,3,33000,1,3,N,0
61842,11MAR2014,SCH,F,62,N,N,0,0,-1.95935594,0,50,2,3,8000,1,2,N,0
26038,02FEB2014,GRD,F,36,N,N,0,0,-1.97190745,4,40,1,3,60000,4,1,N,1
96972,14APR2014,SCH,M,41,N,N,0,0,-2.05064307,4,50,2,3,25000,1,3,N,0
1806,06JAN2014,SCH,M,28,Y,Y,0,0,-1.05467296,2,70,1,1,50000,1,3,N,0
75967,24MAR2014,GRD,M,58,N,N,0,0,-1.68890348,2,50,1,2,60000,1,3,N,0
98251,15APR2014,GRD,F,59,N,N,0,0,-1.79412066,7,50,2,3,14000,1,4,N,0
51615,28FEB2014,SCH,M,27,Y,Y,0,0,-2.17853981,1,50,2,3,55000,4,3,N,1
35287,11FEB2014,SCH,F,26,N,N,0,0,-1.4365796,1,60,1,2,26000,1,2,N,1
82132,30MAR2014,GRD,M,45,N,N,0,0,-2.67747872,0,40,1,2,23000,1,4,N,0
75528,23MAR2014,SCH,F,44,N,N,0,0,-2.29297365,3,60,2,3,20000,3,2,N,0
